city,birthday,id,Name,email
Madison,03-07-1971,702,Jimmy Fillmore,Jimmy_Fillmore702@hotmail.com
Salem,29-07-1974,703,Ulysses Taft,Ulysses_Taft703@yahoo.com
Pierre,30-01-1987,704,Chester Harding,Chester_Harding704@mac.com
Harrisburg,25-06-1978,705,Woodrow Truman,Woodrow_Truman705@hotmail.com
Lincoln,13-01-1995,706,Martin Taft,Martin_Taft706@gmail.com
Lincoln,13-02-1983,707,Warren Adams,Warren_Adams707@hotmail.com
Concord,26-02-1987,708,Millard Roosevelt,Millard_Roosevelt708@hotmail.com
Jackson,21-03-1972,709,Franklin Kennedy,Franklin_Kennedy709@hotmail.com
Salem,12-08-1974,710,Woodrow Jackson,Woodrow_Jackson710@gmail.com
Lansing,19-01-1995,711,James Taft,James_Taft711@hotmail.com
Phoenix,07-01-1984,712,Warren Harrison,Warren_Harrison712@yahoo.com
Columbus,10-08-1995,713,Theodore Harding,Theodore_Harding713@hotmail.com
Augusta,22-01-1989,714,Abraham Johnson,Abraham_Johnson714@mac.com
Jackson,21-04-1993,715,Richard Johnson,Richard_Johnson715@mac.com
Trenton,08-05-1974,716,Lyndon Van Buren,Lyndon_Van_Buren716@yahoo.com
Columbia,19-04-1983,717,Theodore Cleveland,Theodore_Cleveland717@mac.com
Saint Paul,24-09-1970,718,Rutherford Harrison,Rutherford_Harrison718@hotmail.com
Concord,10-10-1970,719,Warren Jefferson,Warren_Jefferson719@mac.com
Pierre,04-11-1985,720,Gerald Fillmore,Gerald_Fillmore720@mac.com
Bismarck,05-04-1988,721,Franklin McKinley,Franklin_McKinley721@yahoo.com
Albany,27-01-1994,722,Theodore Taft,Theodore_Taft722@gmail.com
Tallahassee,12-06-1977,723,Gerald Buchanan,Gerald_Buchanan723@hotmail.com
Tallahassee,30-08-1974,724,Benjamin Arthur,Benjamin_Arthur724@yahoo.com
Little Rock,19-05-1995,725,Bill Cleveland,Bill_Cleveland725@mac.com
Little Rock,14-03-1993,726,Dwight Truman,Dwight_Truman726@hotmail.com
Concord,13-09-1989,727,Benjamin Buchanan,Benjamin_Buchanan727@yahoo.com
Austin,06-04-1990,728,Grover Ford,Grover_Ford728@yahoo.com
Saint Paul,10-09-1979,729,Lyndon Carter,Lyndon_Carter729@mac.com
Helena,25-04-1987,730,Martin Polk,Martin_Polk730@mac.com
Lincoln,05-10-1978,731,Millard Adams,Millard_Adams731@gmail.com
Annapolis,22-09-1970,732,Franklin Cleveland,Franklin_Cleveland732@hotmail.com
Frankfort,14-04-1988,733,William Ford,William_Ford733@gmail.com
Boston,22-01-1995,734,Thomas Grant,Thomas_Grant734@mac.com
Oklahoma City,15-04-1983,735,Herbert Van Buren,Herbert_Van_Buren735@yahoo.com
Lincoln,22-05-1987,736,Calvin Van Buren,Calvin_Van_Buren736@gmail.com
Montpelier,28-11-1972,737,Martin Tyler,Martin_Tyler737@gmail.com
Helena,25-10-1988,738,Rutherford Buchanan,Rutherford_Buchanan738@mac.com
Denver,14-03-1991,739,Gerald Monroe,Gerald_Monroe739@gmail.com
Little Rock,31-12-1989,740,Ronald Jackson,Ronald_Jackson740@hotmail.com
Santa Fe,04-03-1984,741,Lyndon Clinton,Lyndon_Clinton741@gmail.com
Springfield,12-11-1979,742,Andrew Taft,Andrew_Taft742@gmail.com
Trenton,04-08-1981,743,Bill Polk,Bill_Polk743@mac.com
Salt Lake City,18-03-1975,744,Gerald Jefferson,Gerald_Jefferson744@yahoo.com
Providence,24-06-1986,745,William McKinley,William_McKinley745@mac.com
Salt Lake City,02-07-1987,746,Warren Jackson,Warren_Jackson746@hotmail.com
Salem,07-11-1983,747,George Washington,George_Washington747@hotmail.com
Harrisburg,02-07-1993,748,Grover Polk,Grover_Polk748@hotmail.com
Phoenix,31-07-1982,749,Bill Taft,Bill_Taft749@hotmail.com
Juneau,15-01-1983,750,James Madison,James_Madison750@yahoo.com
Concord,10-12-1984,751,Rutherford Clinton,Rutherford_Clinton751@mac.com
Augusta,22-07-1981,752,Abraham Jefferson,Abraham_Jefferson752@yahoo.com
Frankfort,17-10-1992,753,Woodrow Grant,Woodrow_Grant753@mac.com
Richmond,02-10-1977,754,Martin Adams,Martin_Adams754@hotmail.com
Sacramento,01-11-1983,755,Millard Hayes,Millard_Hayes755@gmail.com
Denver,29-12-1978,756,William Johnson,William_Johnson756@hotmail.com
Hartford,10-12-1979,757,Ronald Roosevelt,Ronald_Roosevelt757@yahoo.com
Columbus,16-09-1981,758,Calvin Kennedy,Calvin_Kennedy758@yahoo.com
Albany,07-02-1972,759,Chester Harding,Chester_Harding759@hotmail.com
Atlanta,23-07-1988,760,Harry Clinton,Harry_Clinton760@mac.com
Santa Fe,04-11-1992,761,John Eisenhower,John_Eisenhower761@hotmail.com
Honolulu,11-07-1976,762,Martin Hoover,Martin_Hoover762@mac.com
Columbus,13-09-1983,763,John Jackson,John_Jackson763@hotmail.com
Atlanta,17-09-1986,764,Herbert Buchanan,Herbert_Buchanan764@yahoo.com
Juneau,12-08-1995,765,Franklin Hoover,Franklin_Hoover765@yahoo.com
Boise,15-01-1993,766,George Tyler,George_Tyler766@mac.com
Tallahassee,19-11-1992,767,Woodrow Harrison,Woodrow_Harrison767@yahoo.com
Augusta,13-08-1993,768,Gerald Clinton,Gerald_Clinton768@gmail.com
Pierre,27-06-1993,769,John Coolidge,John_Coolidge769@yahoo.com
Salt Lake City,29-11-1994,770,Theodore Johnson,Theodore_Johnson770@hotmail.com
Madison,30-04-1985,771,Rutherford Carter,Rutherford_Carter771@mac.com
Denver,31-07-1981,772,Benjamin Tyler,Benjamin_Tyler772@yahoo.com
Frankfort,30-05-1974,773,Calvin Harding,Calvin_Harding773@mac.com
Lansing,02-02-1971,774,Calvin Johnson,Calvin_Johnson774@yahoo.com
Concord,07-05-1981,775,Grover Lincoln,Grover_Lincoln775@mac.com
Columbus,10-11-1972,776,Gerald Eisenhower,Gerald_Eisenhower776@gmail.com
Harrisburg,27-03-1991,777,Warren Buchanan,Warren_Buchanan777@hotmail.com
Dover,29-03-1990,778,Andrew Monroe,Andrew_Monroe778@yahoo.com
Santa Fe,06-05-1972,779,Rutherford Jackson,Rutherford_Jackson779@yahoo.com
Little Rock,03-12-1975,780,Franklin Adams,Franklin_Adams780@mac.com
Juneau,11-08-1981,781,Herbert Kennedy,Herbert_Kennedy781@gmail.com
Boston,06-02-1970,782,Andrew Nixon,Andrew_Nixon782@gmail.com
Jefferson City,25-05-1991,783,James Polk,James_Polk783@gmail.com
Nashville,05-02-1981,784,Rutherford Johnson,Rutherford_Johnson784@hotmail.com
Albany,08-07-1988,785,Warren Quincy,Warren_Quincy785@hotmail.com
Little Rock,31-08-1980,786,Lyndon Jackson,Lyndon_Jackson786@gmail.com
Lansing,29-12-1992,787,Bill Kennedy,Bill_Kennedy787@hotmail.com
Dover,30-08-1976,788,Warren Hayes,Warren_Hayes788@yahoo.com
Lansing,29-06-1988,789,Franklin Jackson,Franklin_Jackson789@hotmail.com
Helena,25-05-1976,790,William Harrison,William_Harrison790@gmail.com
Richmond,23-12-1970,791,Martin Wilson,Martin_Wilson791@hotmail.com
Baton Rouge,23-04-1972,792,Gerald Roosevelt,Gerald_Roosevelt792@hotmail.com
Madison,25-06-1990,793,Martin Fillmore,Martin_Fillmore793@gmail.com
Honolulu,01-04-1984,794,Grover Van Buren,Grover_Van_Buren794@hotmail.com
Raleigh,29-07-1989,795,Ulysses Adams,Ulysses_Adams795@gmail.com
Santa Fe,22-01-1991,796,Benjamin Monroe,Benjamin_Monroe796@gmail.com
Denver,18-05-1976,797,Dwight Jackson,Dwight_Jackson797@hotmail.com
Honolulu,07-09-1980,798,Thomas Arthur,Thomas_Arthur798@gmail.com
Lincoln,11-09-1984,799,Andrew Pierce,Andrew_Pierce799@hotmail.com
Little Rock,30-07-1990,800,Martin Carter,Martin_Carter800@mac.com
Olympia,26-03-1982,801,James Truman,James_Truman801@gmail.com
Little Rock,21-07-1990,802,Abraham Coolidge,Abraham_Coolidge802@mac.com
Montgomery,21-04-1972,803,Herbert Eisenhower,Herbert_Eisenhower803@yahoo.com
Carson City,24-11-1986,804,Theodore Roosevelt,Theodore_Roosevelt804@hotmail.com
Indianapolis,09-02-1995,805,James Tyler,James_Tyler805@hotmail.com
Boston,27-11-1978,806,William Hayes,William_Hayes806@mac.com
Dover,29-12-1974,807,Warren Ford,Warren_Ford807@gmail.com
Helena,29-07-1977,808,Franklin Wilson,Franklin_Wilson808@mac.com
Hartford,18-08-1990,809,Martin Carter,Martin_Carter809@gmail.com
Raleigh,21-09-1990,810,Rutherford Grant,Rutherford_Grant810@gmail.com
Des Moines,25-09-1991,811,Richard Truman,Richard_Truman811@yahoo.com
Albany,21-03-1989,812,Zachary Jackson,Zachary_Jackson812@mac.com
Oklahoma City,18-02-1994,813,Rutherford Washington,Rutherford_Washington813@mac.com
Charleston,23-07-1979,814,Jimmy Grant,Jimmy_Grant814@yahoo.com
Little Rock,09-10-1971,815,Franklin Monroe,Franklin_Monroe815@hotmail.com
Concord,04-07-1976,816,Woodrow Jackson,Woodrow_Jackson816@yahoo.com
Frankfort,27-07-1970,817,Millard Roosevelt,Millard_Roosevelt817@gmail.com
Frankfort,30-01-1988,818,Martin Hayes,Martin_Hayes818@mac.com
Pierre,01-09-1987,819,Benjamin Truman,Benjamin_Truman819@gmail.com
Albany,11-07-1975,820,Andrew Reagan,Andrew_Reagan820@hotmail.com
Frankfort,27-12-1971,821,Martin Garfield,Martin_Garfield821@mac.com
Phoenix,22-07-1991,822,Herbert Harrison,Herbert_Harrison822@hotmail.com
Frankfort,25-07-1970,823,Martin Monroe,Martin_Monroe823@gmail.com
Augusta,06-08-1978,824,Andrew Garfield,Andrew_Garfield824@hotmail.com
Sacramento,26-09-1983,825,John Harrison,John_Harrison825@hotmail.com
Little Rock,18-03-1989,826,William Arthur,William_Arthur826@mac.com
Columbus,14-07-1982,827,Gerald Cleveland,Gerald_Cleveland827@gmail.com
Jefferson City,25-06-1985,828,Bill Buchanan,Bill_Buchanan828@yahoo.com
Dover,28-04-1976,829,Franklin Eisenhower,Franklin_Eisenhower829@hotmail.com
Providence,19-07-1992,830,Thomas Grant,Thomas_Grant830@mac.com
Sacramento,05-03-1973,831,Millard Tyler,Millard_Tyler831@hotmail.com
Montpelier,09-01-1984,832,Andrew Quincy,Andrew_Quincy832@gmail.com
Columbus,25-11-1993,833,Bill Eisenhower,Bill_Eisenhower833@gmail.com
Boise,19-07-1975,834,Franklin Roosevelt,Franklin_Roosevelt834@gmail.com
Phoenix,18-04-1995,835,Calvin Madison,Calvin_Madison835@gmail.com
Boston,28-02-1977,836,Bill McKinley,Bill_McKinley836@hotmail.com
Carson City,19-06-1980,837,Bill Van Buren,Bill_Van_Buren837@gmail.com
Bismarck,10-10-1981,838,Ulysses Monroe,Ulysses_Monroe838@hotmail.com
Bismarck,31-10-1982,839,Ulysses Carter,Ulysses_Carter839@mac.com
Austin,29-05-1991,840,Theodore Wilson,Theodore_Wilson840@mac.com
Juneau,08-09-1980,841,Abraham Eisenhower,Abraham_Eisenhower841@mac.com
Little Rock,15-06-1985,842,Dwight Polk,Dwight_Polk842@hotmail.com
Madison,11-11-1987,843,Gerald McKinley,Gerald_McKinley843@yahoo.com
Des Moines,20-09-1975,844,Thomas Harding,Thomas_Harding844@hotmail.com
Trenton,31-05-1974,845,Calvin Harrison,Calvin_Harrison845@mac.com
Topeka,22-05-1987,846,Warren Jefferson,Warren_Jefferson846@hotmail.com
Columbia,04-11-1979,847,Andrew Roosevelt,Andrew_Roosevelt847@hotmail.com
Albany,04-10-1993,848,Jimmy Jefferson,Jimmy_Jefferson848@yahoo.com
Lincoln,02-11-1981,849,Calvin Grant,Calvin_Grant849@hotmail.com
Topeka,01-11-1994,850,Theodore Madison,Theodore_Madison850@yahoo.com
Des Moines,21-12-1973,851,William Reagan,William_Reagan851@yahoo.com
Jackson,17-08-1994,852,Benjamin Carter,Benjamin_Carter852@gmail.com
Raleigh,08-05-1984,853,Dwight Hoover,Dwight_Hoover853@hotmail.com
Salem,19-04-1976,854,Woodrow Jackson,Woodrow_Jackson854@yahoo.com
Richmond,24-09-1981,855,Lyndon Garfield,Lyndon_Garfield855@mac.com
Pierre,12-12-1980,856,Franklin Quincy,Franklin_Quincy856@hotmail.com
Albany,03-01-1986,857,Ulysses Carter,Ulysses_Carter857@hotmail.com
Frankfort,15-03-1986,858,Warren Roosevelt,Warren_Roosevelt858@yahoo.com
Honolulu,08-08-1978,859,Woodrow Harrison,Woodrow_Harrison859@mac.com
Concord,24-05-1989,860,George Hoover,George_Hoover860@mac.com
Salt Lake City,17-09-1994,861,Jimmy Taylor,Jimmy_Taylor861@mac.com
Harrisburg,07-07-1978,862,Franklin Adams,Franklin_Adams862@gmail.com
Trenton,29-11-1979,863,Woodrow Carter,Woodrow_Carter863@mac.com
Baton Rouge,29-08-1974,864,Richard Carter,Richard_Carter864@mac.com
Boston,11-01-1988,865,Warren Clinton,Warren_Clinton865@yahoo.com
Boston,06-04-1972,866,Andrew Clinton,Andrew_Clinton866@yahoo.com
Providence,15-11-1977,867,Benjamin Harding,Benjamin_Harding867@mac.com
Nashville,06-10-1973,868,Lyndon McKinley,Lyndon_McKinley868@mac.com
Montpelier,04-09-1980,869,Jimmy Lincoln,Jimmy_Lincoln869@mac.com
Honolulu,21-12-1983,870,Chester Van Buren,Chester_Van_Buren870@mac.com
Frankfort,20-10-1986,871,Zachary Quincy,Zachary_Quincy871@hotmail.com
Hartford,12-11-1991,872,Woodrow Johnson,Woodrow_Johnson872@mac.com
Juneau,07-09-1972,873,Gerald Roosevelt,Gerald_Roosevelt873@hotmail.com
Boston,07-01-1974,874,Jimmy Eisenhower,Jimmy_Eisenhower874@yahoo.com
Montpelier,12-06-1975,875,Martin Madison,Martin_Madison875@mac.com
Hartford,02-06-1986,876,James Roosevelt,James_Roosevelt876@hotmail.com
Richmond,15-03-1973,877,Bill Pierce,Bill_Pierce877@yahoo.com
Austin,19-11-1975,878,Gerald Adams,Gerald_Adams878@hotmail.com
Phoenix,08-07-1985,879,Richard Taft,Richard_Taft879@mac.com
Annapolis,12-10-1988,880,William Roosevelt,William_Roosevelt880@gmail.com
Indianapolis,26-12-1982,881,Richard Adams,Richard_Adams881@mac.com
Lansing,07-05-1979,882,Grover Tyler,Grover_Tyler882@yahoo.com
Saint Paul,28-05-1981,883,William Monroe,William_Monroe883@mac.com
Indianapolis,22-03-1986,884,James Tyler,James_Tyler884@mac.com
Providence,20-07-1974,885,William Tyler,William_Tyler885@gmail.com
Albany,27-07-1970,886,Woodrow Hayes,Woodrow_Hayes886@yahoo.com
Trenton,28-12-1989,887,Thomas Hayes,Thomas_Hayes887@yahoo.com
Baton Rouge,04-05-1993,888,Lyndon Wilson,Lyndon_Wilson888@mac.com
Salem,16-12-1986,889,Lyndon Madison,Lyndon_Madison889@hotmail.com
Lincoln,03-02-1986,890,Calvin Jefferson,Calvin_Jefferson890@yahoo.com
Little Rock,11-09-1971,891,Warren Arthur,Warren_Arthur891@yahoo.com
Concord,28-11-1987,892,John Grant,John_Grant892@mac.com
Phoenix,25-04-1984,893,Warren Jackson,Warren_Jackson893@hotmail.com
Carson City,14-10-1985,894,Martin Adams,Martin_Adams894@gmail.com
Denver,19-08-1981,895,Millard Van Buren,Millard_Van_Buren895@yahoo.com
Tallahassee,18-02-1984,896,Theodore Taft,Theodore_Taft896@yahoo.com
Lansing,23-11-1984,897,Franklin Jackson,Franklin_Jackson897@yahoo.com
Sacramento,27-08-1973,898,Martin Jackson,Martin_Jackson898@yahoo.com
Madison,25-12-1983,899,Theodore Kennedy,Theodore_Kennedy899@gmail.com
Phoenix,22-04-1970,900,Ulysses Truman,Ulysses_Truman900@gmail.com
Tallahassee,13-12-1979,901,Dwight Coolidge,Dwight_Coolidge901@mac.com
Dover,04-08-1989,902,William Hayes,William_Hayes902@yahoo.com
Salem,24-06-1982,903,Martin Coolidge,Martin_Coolidge903@hotmail.com
Jackson,23-11-1983,904,Calvin Coolidge,Calvin_Coolidge904@yahoo.com
Boston,27-02-1993,905,Rutherford Taylor,Rutherford_Taylor905@mac.com
Albany,23-01-1985,906,Millard Grant,Millard_Grant906@mac.com
Trenton,01-02-1986,907,Chester Pierce,Chester_Pierce907@yahoo.com
Carson City,14-01-1973,908,Bill Truman,Bill_Truman908@gmail.com
Des Moines,12-10-1981,909,Franklin Harrison,Franklin_Harrison909@gmail.com
Topeka,28-08-1985,910,Woodrow Wilson,Woodrow_Wilson910@hotmail.com
Indianapolis,06-11-1978,911,Ronald Pierce,Ronald_Pierce911@mac.com
Montpelier,15-06-1977,912,Grover Fillmore,Grover_Fillmore912@gmail.com
Augusta,07-06-1982,913,Andrew Cleveland,Andrew_Cleveland913@hotmail.com
Augusta,05-08-1981,914,Richard Harrison,Richard_Harrison914@hotmail.com
Albany,11-11-1984,915,Franklin Roosevelt,Franklin_Roosevelt915@hotmail.com
Augusta,03-10-1991,916,James Hayes,James_Hayes916@mac.com
Harrisburg,18-07-1994,917,Bill Harding,Bill_Harding917@hotmail.com
Little Rock,12-02-1975,918,George Adams,George_Adams918@gmail.com
Lansing,25-06-1981,919,Warren Wilson,Warren_Wilson919@yahoo.com
Trenton,13-03-1992,920,Herbert McKinley,Herbert_McKinley920@mac.com
Dover,04-07-1978,921,Herbert Tyler,Herbert_Tyler921@gmail.com
Tallahassee,27-10-1989,922,Andrew Reagan,Andrew_Reagan922@yahoo.com
Columbia,10-08-1985,923,John Roosevelt,John_Roosevelt923@hotmail.com
Dover,31-10-1983,924,Lyndon Reagan,Lyndon_Reagan924@gmail.com
Harrisburg,31-05-1981,925,Bill Arthur,Bill_Arthur925@yahoo.com
Tallahassee,22-11-1976,926,Warren Monroe,Warren_Monroe926@mac.com
Denver,16-03-1988,927,John Polk,John_Polk927@hotmail.com
Phoenix,17-01-1977,928,Lyndon McKinley,Lyndon_McKinley928@mac.com
Annapolis,22-07-1987,929,James Hoover,James_Hoover929@hotmail.com
Pierre,28-03-1995,930,Ronald Johnson,Ronald_Johnson930@yahoo.com
Denver,15-12-1983,931,Harry Johnson,Harry_Johnson931@mac.com
Concord,31-07-1984,932,William Eisenhower,William_Eisenhower932@mac.com
Atlanta,05-07-1974,933,Ronald Roosevelt,Ronald_Roosevelt933@mac.com
Dover,23-07-1976,934,William Taft,William_Taft934@mac.com
Atlanta,27-01-1979,935,Lyndon Hoover,Lyndon_Hoover935@yahoo.com
Indianapolis,23-11-1973,936,Benjamin Washington,Benjamin_Washington936@mac.com
Springfield,30-11-1979,937,Rutherford Nixon,Rutherford_Nixon937@yahoo.com
Montpelier,28-04-1972,938,Lyndon Wilson,Lyndon_Wilson938@yahoo.com
Phoenix,15-04-1990,939,Gerald Polk,Gerald_Polk939@yahoo.com
Nashville,24-12-1995,940,Gerald Grant,Gerald_Grant940@hotmail.com
Concord,08-12-1983,941,Jimmy Cleveland,Jimmy_Cleveland941@hotmail.com
Little Rock,26-08-1985,942,Warren Adams,Warren_Adams942@gmail.com
Olympia,04-01-1970,943,Martin Johnson,Martin_Johnson943@gmail.com
Lincoln,04-08-1983,944,Jimmy Eisenhower,Jimmy_Eisenhower944@yahoo.com
Carson City,06-05-1984,945,Franklin Arthur,Franklin_Arthur945@gmail.com
Phoenix,18-02-1973,946,Gerald Harrison,Gerald_Harrison946@mac.com
Springfield,16-08-1982,947,Bill Reagan,Bill_Reagan947@hotmail.com
Montpelier,12-11-1985,948,Zachary Fillmore,Zachary_Fillmore948@hotmail.com
Tallahassee,25-04-1991,949,Richard McKinley,Richard_McKinley949@gmail.com
Boise,12-07-1977,950,Woodrow Adams,Woodrow_Adams950@yahoo.com
Oklahoma City,23-12-1994,951,Franklin Madison,Franklin_Madison951@gmail.com
Springfield,24-05-1994,952,Benjamin Clinton,Benjamin_Clinton952@gmail.com
Pierre,28-10-1980,953,Theodore Harding,Theodore_Harding953@mac.com
Indianapolis,26-05-1988,954,George Garfield,George_Garfield954@yahoo.com
Raleigh,11-01-1970,955,Grover Carter,Grover_Carter955@hotmail.com
Montgomery,31-08-1971,956,Calvin Roosevelt,Calvin_Roosevelt956@gmail.com
Jackson,17-10-1975,957,Lyndon Van Buren,Lyndon_Van_Buren957@hotmail.com
Raleigh,06-09-1985,958,Richard Roosevelt,Richard_Roosevelt958@hotmail.com
Juneau,17-08-1990,959,Thomas Garfield,Thomas_Garfield959@gmail.com
Jackson,10-12-1990,960,James Jackson,James_Jackson960@mac.com
Frankfort,22-10-1981,961,Millard McKinley,Millard_McKinley961@mac.com
Lincoln,10-02-1971,962,William Arthur,William_Arthur962@mac.com
Salem,04-07-1984,963,Harry Kennedy,Harry_Kennedy963@yahoo.com
Annapolis,01-08-1980,964,Warren Coolidge,Warren_Coolidge964@gmail.com
Phoenix,30-07-1972,965,John Taylor,John_Taylor965@yahoo.com
Atlanta,12-08-1974,966,Rutherford Harding,Rutherford_Harding966@gmail.com
Austin,03-06-1973,967,Grover Roosevelt,Grover_Roosevelt967@mac.com
Tallahassee,15-09-1995,968,Theodore Kennedy,Theodore_Kennedy968@mac.com
Sacramento,02-01-1990,969,Theodore Cleveland,Theodore_Cleveland969@yahoo.com
Columbia,04-08-1970,970,Benjamin Roosevelt,Benjamin_Roosevelt970@gmail.com
Austin,01-06-1975,971,Calvin Wilson,Calvin_Wilson971@hotmail.com
Pierre,07-05-1990,972,Gerald Quincy,Gerald_Quincy972@yahoo.com
Denver,16-12-1981,973,Andrew Roosevelt,Andrew_Roosevelt973@mac.com
Charleston,15-02-1977,974,Harry Jackson,Harry_Jackson974@mac.com
Phoenix,25-04-1989,975,Lyndon Tyler,Lyndon_Tyler975@mac.com
Columbus,18-12-1986,976,Millard Grant,Millard_Grant976@yahoo.com
Lansing,01-09-1988,977,Theodore Harrison,Theodore_Harrison977@yahoo.com
Atlanta,05-02-1987,978,Andrew Washington,Andrew_Washington978@mac.com
Pierre,05-05-1970,979,Lyndon Harding,Lyndon_Harding979@mac.com
Frankfort,26-05-1980,980,Millard Pierce,Millard_Pierce980@gmail.com
Des Moines,02-11-1988,981,Woodrow Hayes,Woodrow_Hayes981@yahoo.com
Pierre,16-03-1978,982,Harry Washington,Harry_Washington982@gmail.com
Springfield,23-11-1991,983,Jimmy Roosevelt,Jimmy_Roosevelt983@hotmail.com
Jefferson City,31-03-1979,984,Lyndon Coolidge,Lyndon_Coolidge984@yahoo.com
Austin,12-05-1990,985,John Garfield,John_Garfield985@hotmail.com
Springfield,30-11-1988,986,Bill Van Buren,Bill_Van_Buren986@gmail.com
Topeka,10-07-1982,987,Calvin Nixon,Calvin_Nixon987@hotmail.com
Jackson,10-08-1989,988,Andrew Van Buren,Andrew_Van_Buren988@mac.com
Salt Lake City,02-10-1988,989,Harry Arthur,Harry_Arthur989@yahoo.com
Denver,30-04-1987,990,Andrew Roosevelt,Andrew_Roosevelt990@gmail.com
Montgomery,09-01-1987,991,Benjamin Adams,Benjamin_Adams991@yahoo.com
Lincoln,25-04-1980,992,Woodrow Roosevelt,Woodrow_Roosevelt992@mac.com
Santa Fe,21-03-1988,993,Thomas Eisenhower,Thomas_Eisenhower993@mac.com
Oklahoma City,07-12-1987,994,Herbert Grant,Herbert_Grant994@hotmail.com
Springfield,29-09-1976,995,Richard Reagan,Richard_Reagan995@mac.com
Frankfort,01-07-1972,996,Chester Buchanan,Chester_Buchanan996@gmail.com
Denver,25-05-1994,997,Chester Jefferson,Chester_Jefferson997@gmail.com
Raleigh,25-04-1987,998,Theodore Lincoln,Theodore_Lincoln998@hotmail.com
Carson City,03-01-1976,999,Warren Washington,Warren_Washington999@yahoo.com
Tallahassee,18-08-1980,1000,Rutherford Cleveland,Rutherford_Cleveland1000@gmail.com
